held_out_condition,target,actual,predicted,absolute_error
olfactory_food_memory,forward_drive,0.7438841195690529,0.672767214498974,0.07111690507007884
olfactory_food_memory,turning_drive,0.6036419788996379,0.02291674269776193,0.580725236201876
olfactory_food_memory,feeding_drive,0.944602347241558,0.0,0.944602347241558
olfactory_food_memory,grooming_drive,0.03,0.09116001111669068,0.061160011116690685
olfactory_food_memory,visual_steering_drive,0.05,0.00042428354594942463,0.04957571645405058
visual_object_tracking,forward_drive,0.6882386123766041,0.3479126434555463,0.3403259689210578
visual_object_tracking,turning_drive,0.0129526809659458,0.3156499697361464,0.3026972887702006
visual_object_tracking,feeding_drive,0.02,0.6010522692596987,0.5810522692596987
visual_object_tracking,grooming_drive,0.03,0.325280199824104,0.29528019982410403
visual_object_tracking,visual_steering_drive,0.0,0.03159810926287908,0.03159810926287908
gustatory_feeding,forward_drive,0.12,0.35205064330561386,0.23205064330561387
gustatory_feeding,turning_drive,0.08,0.07818496189965654,0.0018150381003434607
gustatory_feeding,feeding_drive,0.8030237972736358,0.0,0.8030237972736358
gustatory_feeding,grooming_drive,0.1383118599653244,0.4674948385430929,0.3291829785777685
gustatory_feeding,visual_steering_drive,0.02,0.008736677501340077,0.011263322498659923
mechanosensory_grooming,forward_drive,0.08,0.4298538255432723,0.34985382554327227
mechanosensory_grooming,turning_drive,0.18,0.07320708262731616,0.10679291737268383
mechanosensory_grooming,feeding_drive,0.03,0.42595399526742495,0.3959539952674249
mechanosensory_grooming,grooming_drive,0.8274277134741936,0.07977930995179171,0.7476484035224019
mechanosensory_grooming,visual_steering_drive,0.02,0.011683849045317279,0.008316150954682721
